"people says before watching some kind of movies, keep you brain out of your head, you will find the fun, you will not look for at least a logic. i would like to say, burn your brain before watching this movie, otherwise you will regret whenever you remember that you watch this movie.akshay is a talented actor. and bobby also. even riteish also. so why they did it, are they unemployed? why bobby here? he and akshay looks too much old. they don't fit this crap comedy movie. for akshay only, he is good in acting but bad in choosing. i think he does't ever choose any movie rather every movie offer he gets, he does the role. most brainless and idotic movies in bollywood mostly made by akhsay the hero.akshay forgets and this is the worst part of the movie. what the actors are doing in this movie they know themselves. song after every 10-15 minutes. just a brainless full of hollow comedy. avoid it anyhow if you don't want to torture your existence. otherwise, you'll regret.the director farhad samji, i checked his profile in imdb, he has the creator of most of the crap movies now a days. dilwale,it's entertainment, golmall again, houseful 2, himmatwala, houseful 3 etc.the song bala is good. akshay is is good in acting. johnny lever wasted.",-1
"the film opens with harry, played by akshay kumar, who is working as a barber with 'ghajini problem' (short-term memory loss), .......,,along with his brother max, essayed by bobby deol and roy, played by riteish deshmukh.the trio somehow manages to convince the daughters of a billionaire, played by kriti sanon, pooja hegde and kriti kharbanda, to marry them.they all arrive in sitamgarh for the wedding, where the dumb comdey unfolds.....,just like the earlier parts of the film, housefull 4 is about the mistaken identities, goofy plans and some silly, hilarious punches.
the first half of the film is full of poor jokes, here, akshay plays the notorious prince bala and is in his top form."" ..., thts a copied character of 'general alladin' of english movie 'the dictator'.movie is brain-tickling torture ,horrible blend of lame writing, painful screenplay, miserable dialogue &amp; direction.akshay is good but he couldn't rise above the horrible script.except bala-akshay bakki sab bekar..!!😔housefull 4 = 0 comedy n bekar story..!!",-1
"not funny. am actually too generous in rating it 3. movie is a spoof of many other like magadheera, bahubali and what not. cheap jokes, repeated comedy and lame picturisation. frankly, when you get to show reincarnation, you are creating high expectations and you have power to craft mystery. but, but, but... its housefull and how can i forget it has to be stupid, and yes, i won the bet. disappointed. even om shanti om of farah khan production was better than this. left in between.and yes, by the way, reincarnation as a keyword, is no spoiler to it...",-1
"worth not even writing a review. just bad timing of jokes, bad performances.",-1
i want to donate my eyes &amp; brain after watching this. it's the dumbest movie after hamshakals.,-1
"brainless, senseless and humourless. the less said about this movie the better. there are some mysteries in this world and how this movie was declared a hit should be one of them. i felt like committing ""harakiri"" for just watching this movie.",1
"this movie is exceptional, truly and epic reincarnation comedy. the best comedy movie of the year, and one of the best of the decade. however, the second best of the housefull franchise after housefull 2. this one is a gem.
the first half seemed okayish, above average, all the secrets were out. the second half, i must tell you, it was unbearable for my stomy. i laughed so hard, so loud, i couldn't imagine ever.
akshay kumar, ritesh deshmukh, bobby deol, pooja hegde and kriti sanon, all have done a remarkable job. the best was johnny lever, oh my god! i couldn't take a moment of calmness. mamma mia again rocked it.
we need housefull 5.
my ratings for all the housefull series are as below:
h1 : 7.5
h2 : 9
h3 : 6
h4 : 8.75
yes, i'm an akkian, but this is my true review, not a biased one unlike the idiot taran adarsh who never underands comedies 😂😂
i couldn't stop laughing when he rated prem ratan dhan paayo and abcd 3 as 4/5, dabbang 3 as 3/5 saying entertainer and one of the best movies of bollywood dil chahta hai as 2/5 😂😂",-1
"the only good thing about this movie is it's title song - bala! the rest is just hours of time waste. it seems that the story is not a well thought work here. all good moments where they can add some hillarious comedy was deliberately missed.
there seems not even a single moment where you would even grin.",-1
"#finalverdicthousefull 4 is that rare genre of films which will test your patience with its foolishness, shock you with its lack of logic &amp; launch a vicious assault on your senses. utter nonsense!usually, a paragraph is devoted in reviews to detail the plot &amp; screenplay but to say that housefull 4 has even a semblance of the two is a poor joke. the audience is just going to shake their head in dismay &amp; frustration as the intolerable cruelty unfolds.fridays are becoming a messy hodgepodge in bollywood with each transient months, in the matter of getting an epochal release and a diwali release is an event in itself. but the makers of housefull 4 have literally shown a middle finger to the audiences. sure, we relish madcap entertainers, but what director farhad samji serves in housefull 4 transcends all limits. he attempts a crazy, simple entertainer yet again, but peppers it with inane, ridiculous episodes that makes you wonder, is this for real? sara bodinar and sajid nadiadwala's story drains you at the end, despite the actors putting their best foot forward to make you giggle. the banal jokes &amp; the lame pjs coupled with the muddled screenplay are clearly responsible for the epic mess.the soundtrack of housefull 4 is pleasant, with the composer (sohail sen) belting out a couple of hummable tunes. the plush locales of london &amp; the grandiose production design ( subrata chakraborty-amit ray) gives the film the required scale. and that's it.vfx should've been better. editing (rameshwar s bhagat) is uneven. this singularly unfunny film plumbs the depths of comedic bankruptcy by a director who quite frankly, hasn't delivered anything funny in a long time.akshay kumar plays to the gallery but is letdown by the writing. also, he tries too hard to be funny. riteish deshmukh hams to the hilt. bobby deol looks out of place completely. the leading ladies - kriti sanon, pooja hegd and kriti kharbanda - are pure eye candies. chunky panday is wasted. ditto for ranjeet, johny lever, sharad kelkar, rana daggubati and nawazuddin siddiqui.on the whole, it'll be difficult for housefull 4 to sustain once the initial euphoria settles down. it's all bad. all of it, every last instant, every single word. simply put, housefull 4 is an unforgivable farce. this is public harassment - a precise sentence i'll use to describe the experience. if you thought comedy could sink no further. watch just 15 minutes of housefull 4 and you'd be disavowed of that notion.",1
please don't watch this movie it is just waste of money and a damage to your brain worst movie ever made,1
